threshold,false_positives,fp_per_scan,true_positives,sensitivity
0.01098097488284111,79,0.9080459770114943,97,0.9897959183673469
0.010943260975182056,80,0.9195402298850575,97,0.9897959183673469
0.010885377414524555,81,0.9310344827586207,97,0.9897959183673469
0.010601728223264217,82,0.9425287356321839,97,0.9897959183673469
0.010592009872198105,83,0.9540229885057471,97,0.9897959183673469
0.010330078192055225,84,0.9655172413793104,97,0.9897959183673469
0.00998793076723814,85,0.9770114942528736,97,0.9897959183673469
0.00994814746081829,86,0.9885057471264368,97,0.9897959183673469
0.009535090997815132,87,1.0,97,0.9897959183673469
0.009347112849354744,88,1.0114942528735633,97,0.9897959183673469
0.009314345195889473,89,1.0229885057471264,97,0.9897959183673469
0.008982477709650993,90,1.0344827586206897,97,0.9897959183673469
0.008957421407103539,91,1.0459770114942528,97,0.9897959183673469
0.008648686110973358,92,1.0574712643678161,97,0.9897959183673469
0.008387613110244274,93,1.0689655172413792,97,0.9897959183673469
0.007616937626153231,94,1.0804597701149425,97,0.9897959183673469
0.007532929070293903,95,1.0919540229885059,97,0.9897959183673469
0.007379473652690649,96,1.103448275862069,97,0.9897959183673469
0.007350862957537174,97,1.1149425287356323,97,0.9897959183673469
0.007267681881785393,98,1.1264367816091954,97,0.9897959183673469
0.007156991865485907,99,1.1379310344827587,97,0.9897959183673469
0.00687136547639966,100,1.1494252873563218,97,0.9897959183673469
0.00680406391620636,101,1.160919540229885,97,0.9897959183673469
0.006717361975461245,102,1.1724137931034482,97,0.9897959183673469
0.006667626556009054,103,1.1839080459770115,97,0.9897959183673469
0.006394019350409508,104,1.1954022988505748,97,0.9897959183673469
0.006323127541691065,105,1.206896551724138,97,0.9897959183673469
0.006271186750382185,106,1.2183908045977012,97,0.9897959183673469
0.006249501369893551,107,1.2298850574712643,97,0.9897959183673469
0.006248399615287781,108,1.2413793103448276,97,0.9897959183673469
0.006175283808261156,109,1.2528735632183907,97,0.9897959183673469
0.00615859916433692,110,1.264367816091954,97,0.9897959183673469
0.00597646739333868,111,1.2758620689655173,97,0.9897959183673469
0.005718934815376997,112,1.2873563218390804,97,0.9897959183673469
0.005508735775947571,113,1.2988505747126438,97,0.9897959183673469
0.005424917675554752,114,1.3103448275862069,97,0.9897959183673469
0.005409464705735445,115,1.3218390804597702,97,0.9897959183673469
0.005103526171296835,116,1.3333333333333333,97,0.9897959183673469
0.0050699892453849316,117,1.3448275862068966,97,0.9897959183673469
0.004933279938995838,118,1.3563218390804597,97,0.9897959183673469
0.004866592586040497,118,1.3563218390804597,98,1.0
0.004654431715607643,119,1.367816091954023,98,1.0
0.004632347263395786,120,1.3793103448275863,98,1.0
0.004547750111669302,121,1.3908045977011494,98,1.0
0.0045396615751087666,122,1.4022988505747127,98,1.0
0.004411910194903612,123,1.4137931034482758,98,1.0
0.004380552098155022,124,1.4252873563218391,98,1.0
0.004380233585834503,125,1.4367816091954022,98,1.0
0.00435543293133378,126,1.4482758620689655,98,1.0
0.004242610186338425,127,1.4597701149425288,98,1.0
0.0042185476049780846,128,1.471264367816092,98,1.0
0.004104696214199066,129,1.4827586206896552,98,1.0
0.004042875021696091,130,1.4942528735632183,98,1.0
0.0040200757794082165,131,1.5057471264367817,98,1.0
0.003964283969253302,132,1.5172413793103448,98,1.0
0.0038342061452567577,133,1.528735632183908,98,1.0
0.0037995330058038235,134,1.5402298850574712,98,1.0
