method,seed,degradation,level,auc,pr_auc,f1,threshold
resnet18_augmented,1,resample,5,0.9767275331185106,0.9381620088074314,0.7603305785123967,0.22028842568397522
pbip_lite,1,clean,0,0.9950641910899698,0.9852632689161578,0.93,0.6191728711128235
pbip_lite,1,low_contrast,1,0.9949874686716793,0.9844675189466121,0.9253731343283582,0.6191728711128235
pbip_lite,1,low_contrast,2,0.9954222290419927,0.98337564047447,0.9238578680203046,0.6191728711128235
pbip_lite,1,low_contrast,3,0.9941435220704823,0.9771269049226091,0.9137055837563451,0.6191728711128235
pbip_lite,1,low_contrast,4,0.9782364073448929,0.9438641026536357,0.8808290155440415,0.6191728711128235
pbip_lite,1,low_contrast,5,0.9101836223211088,0.832945894624255,0.7608695652173914,0.6191728711128235
pbip_lite,1,gaussian_noise,1,0.9950386169505396,0.9852413803657686,0.93,0.6191728711128235
pbip_lite,1,gaussian_noise,2,0.9941435220704823,0.9832549870777998,0.9306930693069307,0.6191728711128235
pbip_lite,1,gaussian_noise,3,0.9895146028336147,0.9747816572349371,0.9353233830845771,0.6191728711128235
pbip_lite,1,gaussian_noise,4,0.9848601094573166,0.9624442786616603,0.9154228855721394,0.6191728711128235
pbip_lite,1,gaussian_noise,5,0.9778783693928699,0.942085619667294,0.8704663212435233,0.6191728711128235
pbip_lite,1,gaussian_blur,1,0.9957802669940157,0.9863770513066247,0.9292929292929293,0.6191728711128235
pbip_lite,1,gaussian_blur,2,0.9965474911769219,0.9880450149094481,0.9292929292929293,0.6191728711128235
pbip_lite,1,gaussian_blur,3,0.9967776584317937,0.9875816708503067,0.9393939393939394,0.6191728711128235
pbip_lite,1,gaussian_blur,4,0.9951409135082605,0.981242108541173,0.92,0.6191728711128235
pbip_lite,1,gaussian_blur,5,0.9875453940974886,0.9615487925405455,0.883495145631068,0.6191728711128235
pbip_lite,1,window_shift,1,0.9954222290419927,0.9859393446527339,0.93,0.6191728711128235
pbip_lite,1,window_shift,2,0.9958058411334458,0.9863758094840931,0.9292929292929293,0.6191728711128235
pbip_lite,1,window_shift,3,0.9960360083883177,0.9862756902672056,0.934010152284264,0.6191728711128235
pbip_lite,1,window_shift,4,0.9962406015037595,0.9864920088963124,0.9292929292929293,0.6191728711128235
pbip_lite,1,window_shift,5,0.9959337118305969,0.9853637287030923,0.9191919191919192,0.6191728711128235
pbip_lite,1,jpeg,1,0.9951409135082605,0.9855996805751341,0.93,0.6191728711128235
pbip_lite,1,jpeg,2,0.9953455066237021,0.9860333206134658,0.9253731343283582,0.6191728711128235
pbip_lite,1,jpeg,3,0.9944759858830751,0.9839835188389682,0.92,0.6191728711128235
pbip_lite,1,jpeg,4,0.9946805789985167,0.9832272258585754,0.92,0.6191728711128235
pbip_lite,1,jpeg,5,0.9932228530509949,0.9770766351874581,0.9387755102040817,0.6191728711128235
pbip_lite,1,resample,1,0.9962917497826198,0.9875140857930731,0.9246231155778895,0.6191728711128235
pbip_lite,1,resample,2,0.9964963428980615,0.9875779582364661,0.9292929292929293,0.6191728711128235
pbip_lite,1,resample,3,0.9965474911769219,0.9870356140393794,0.934010152284264,0.6191728711128235
pbip_lite,1,resample,4,0.9960104342488876,0.9843119632551856,0.9346733668341709,0.6191728711128235
pbip_lite,1,resample,5,0.9759858830750346,0.9333655088082311,0.8144796380090498,0.6191728711128235
pbip_full,1,clean,0,0.9950386169505395,0.9853921947024449,0.93,0.618535578250885
pbip_full,1,low_contrast,1,0.9951920617871208,0.9851250631197623,0.9253731343283582,0.618535578250885
pbip_full,1,low_contrast,2,0.9954989514602833,0.9835759021119106,0.9238578680203046,0.618535578250885
pbip_full,1,low_contrast,3,0.9941690962099126,0.9773276755698849,0.9137055837563451,0.618535578250885
pbip_full,1,low_contrast,4,0.9773413124648356,0.9433603679245094,0.8808290155440415,0.618535578250885
pbip_full,1,low_contrast,5,0.9058104444785433,0.8264817792044551,0.7608695652173914,0.618535578250885
