method,method_zh,seed,degradation,degradation_zh,level,auc,pr_auc,f1,threshold,auc_drop_from_clean,pr_auc_drop_from_clean,f1_drop_from_clean
pbip_full,PBIP + 原型对比损失,1,low_contrast,低对比度,3,0.9941690962099126,0.9773276755698848,0.9137055837563453,0.618535578250885,0.0008695207406270722,0.00806451913256001,0.016294416243654797
pbip_full,PBIP + 原型对比损失,1,low_contrast,低对比度,4,0.9773413124648356,0.9433603679245094,0.8808290155440415,0.618535578250885,0.017697304485704057,0.04203182677793538,0.04917098445595858
pbip_full,PBIP + 原型对比损失,1,low_contrast,低对比度,5,0.9058104444785432,0.8264817792044551,0.7608695652173914,0.618535578250885,0.08922817247199644,0.15891041549798968,0.1691304347826087
pbip_full,PBIP + 原型对比损失,1,gaussian_noise,高斯噪声,1,0.9951409135082604,0.985396602707422,0.93,0.618535578250885,-0.00010229655772076018,-4.4080049772521335e-06,0.0
pbip_full,PBIP + 原型对比损失,1,gaussian_noise,高斯噪声,2,0.9941946703493428,0.9833050503226688,0.9306930693069309,0.618535578250885,0.0008439466011967989,0.0020871443797759737,-0.0006930693069308047
pbip_full,PBIP + 原型对比损失,1,gaussian_noise,高斯噪声,3,0.9898982149250678,0.975262637220882,0.9353233830845772,0.618535578250885,0.005140402025471835,0.010129557481562745,-0.005323383084577138
pbip_full,PBIP + 原型对比损失,1,gaussian_noise,高斯噪声,4,0.985371592245921,0.9633588847758988,0.9154228855721394,0.618535578250885,0.009667024704618665,0.022033309926545952,0.014577114427860693
pbip_full,PBIP + 原型对比损失,1,gaussian_noise,高斯噪声,5,0.978389852181474,0.943473018108892,0.882051282051282,0.618535578250885,0.016648764769065627,0.04191917659355282,0.04794871794871802
pbip_full,PBIP + 原型对比损失,1,gaussian_blur,高斯模糊,1,0.995831415272876,0.986457341430668,0.9292929292929292,0.618535578250885,-0.0007927983223363633,-0.0010651467282232208,0.0007070707070708782
pbip_full,PBIP + 原型对比损失,1,gaussian_blur,高斯模糊,2,0.996573065316352,0.9881353423025412,0.9292929292929292,0.618535578250885,-0.001534448365812402,-0.0027431476000964183,0.0007070707070708782
pbip_full,PBIP + 原型对比损失,1,gaussian_blur,高斯模糊,3,0.996803232571224,0.9876442710621656,0.9441624365482234,0.618535578250885,-0.0017646156206844177,-0.0022520763597208004,-0.014162436548223356
pbip_full,PBIP + 原型对比损失,1,gaussian_blur,高斯模糊,4,0.9950641910899698,0.9809092174557704,0.92,0.618535578250885,-2.557413943016229e-05,0.004482977246674347,0.010000000000000009
pbip_full,PBIP + 原型对比损失,1,gaussian_blur,高斯模糊,5,0.9873919492609076,0.9611138820521552,0.8780487804878049,0.618535578250885,0.0076466676896320696,0.02427831265028957,0.05195121951219517
pbip_full,PBIP + 原型对比损失,1,window_shift,窗位偏移,1,0.9954989514602832,0.9862062687275772,0.93,0.618535578250885,-0.00046033450974358736,-0.0008140740251324496,0.0
pbip_full,PBIP + 原型对比损失,1,window_shift,窗位偏移,2,0.9959081376911668,0.986706631416956,0.934010152284264,0.618535578250885,-0.0008695207406271832,-0.0013144367145112579,-0.004010152284263935
pbip_full,PBIP + 原型对比损失,1,window_shift,窗位偏移,3,0.996189453224899,0.9866836988406268,0.934010152284264,0.618535578250885,-0.0011508362743594125,-0.0012915041381820203,-0.004010152284263935
pbip_full,PBIP + 原型对比损失,1,window_shift,窗位偏移,4,0.9962406015037596,0.9864825546562972,0.9292929292929292,0.618535578250885,-0.0012019845532199591,-0.0010903599538524267,0.0007070707070708782
pbip_full,PBIP + 原型对比损失,1,window_shift,窗位偏移,5,0.9959081376911668,0.985276040086952,0.9292929292929292,0.618535578250885,-0.0008695207406271832,0.0001161546154927473,0.0007070707070708782
